nameWithOwner,url,createdAt,updatedAt,repo_age_days,last_update_days_ago,primaryLanguage,issues_total,closed_issues_total,closed_issues_ratio,merged_pull_requests,releases_total,stargazers,forks
open-guides/og-aws,https://github.com/open-guides/og-aws,2016-07-13T17:30:16Z,2026-02-27T21:32:20Z,3516,0,Shell,228,88,0.38596491228070173,498,0,36593,3911
alebcay/awesome-shell,https://github.com/alebcay/awesome-shell,2014-07-07T01:57:42Z,2026-02-27T18:45:51Z,4253,0,,63,23,0.36507936507936506,307,0,36545,2470
date-fns/date-fns,https://github.com/date-fns/date-fns,2014-10-06T10:24:22Z,2026-02-27T16:20:33Z,4162,0,TypeScript,2038,1382,0.6781157998037292,1068,122,36488,1934
huggingface/pytorch-image-models,https://github.com/huggingface/pytorch-image-models,2019-02-02T05:51:12Z,2026-02-27T20:19:39Z,2582,0,Python,1026,978,0.9532163742690059,522,75,36410,5119
karpathy/LLM101n,https://github.com/karpathy/LLM101n,2024-05-27T00:23:38Z,2026-02-27T20:16:05Z,641,0,,0,0,,0,0,36392,1977
duckdb/duckdb,https://github.com/duckdb/duckdb,2018-06-26T15:04:45Z,2026-02-27T19:34:27Z,2803,0,C++,6576,6038,0.9181873479318735,9562,56,36352,2953
typeorm/typeorm,https://github.com/typeorm/typeorm,2016-02-29T07:41:14Z,2026-02-27T17:58:00Z,3651,0,TypeScript,8539,8127,0.9517507904906898,2368,40,36352,6500
fengdu78/Coursera-ML-AndrewNg-Notes,https://github.com/fengdu78/Coursera-ML-AndrewNg-Notes,2017-11-04T10:04:08Z,2026-02-27T12:53:15Z,3037,0,HTML,69,15,0.21739130434782608,14,0,36346,11146
gkd-kit/gkd,https://github.com/gkd-kit/gkd,2023-07-04T03:59:15Z,2026-02-27T13:44:57Z,969,0,Kotlin,735,725,0.9863945578231292,8,64,36337,1766
chatanywhere/GPT_API_free,https://github.com/chatanywhere/GPT_API_free,2023-04-23T12:42:08Z,2026-02-27T19:48:05Z,1041,0,Python,417,365,0.8752997601918465,1,0,36246,2550
DavidHDev/react-bits,https://github.com/DavidHDev/react-bits,2024-08-06T06:54:54Z,2026-02-27T21:42:17Z,570,0,JavaScript,477,469,0.9832285115303984,155,0,36213,1600
SheetJS/sheetjs,https://github.com/SheetJS/sheetjs,2012-12-03T19:25:52Z,2026-02-27T16:00:25Z,4834,0,,2386,2267,0.9501257334450964,106,0,36198,7971
hankcs/HanLP,https://github.com/hankcs/HanLP,2014-10-09T06:36:16Z,2026-02-27T16:00:03Z,4159,0,Python,1434,1426,0.9944211994421199,79,62,36162,10905
slatedocs/slate,https://github.com/slatedocs/slate,2013-09-13T22:15:24Z,2026-02-26T16:42:06Z,4550,1,,609,559,0.9178981937602627,298,28,36161,349
